Analysis no.,Strat. Pos.,Eruption,controlcode,Sample,Epoch,Crater size,Date of analysis,Si/bulk cps,SiO2* (EMP),Sc,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U
1962,62,Astroni 6,1,76,three-b,20,040810am,5.74,60.27,0.26,339,365,26.77,358,57.71,23.87,379,69.12,121.15,12.07,39.78,7.65,1.44,5.03,0.61,4.98,0.90,3.34,0.39,1.87,0.43,6.32,3.31,48.36,31.22,9.04
1963,62,Astroni 6,1,76,three-b,20,040810am,9.11,60.28,0.25,364,385,31.93,412,60.04,28.59,331,76.43,132.16,16.08,54.80,8.94,1.78,7.41,1.21,5.95,1.09,2.44,0.51,2.88,0.55,8.36,3.35,65.10,39.22,10.55
1964,62,Astroni 6,1,76,three-b,20,040810am,9.66,60.21,0.22,391,390,26.72,339,63.89,26.84,428,71.41,128.89,13.88,45.87,8.31,1.34,7.16,0.97,4.45,1.09,2.87,0.43,2.78,0.32,6.96,2.93,68.61,33.16,11.11
1965,62,Astroni 6,1,76,three-b,20,040810am,8.64,59.72,0.18,336,305,24.46,292,53.84,23.12,269,64.02,113.37,10.97,41.93,8.21,1.25,5.62,0.74,5.56,0.80,2.06,0.39,2.47,0.45,5.92,2.49,54.13,28.34,8.77
1966,62,Astroni 6,1,76,three-b,20,040810am,5.97,59.50,0.21,282,411,32.67,368,67.46,22.04,491,75.95,143.19,13.74,44.40,7.52,0.81,7.56,0.93,4.85,1.09,2.95,0.37,3.38,0.42,5.57,2.98,61.45,33.39,18.45
1967,62,Astroni 6,1,75,three-b,10,110210am,6.28,60.18,0.00,342,403,30.79,389,66.07,25.42,395,79.53,134.60,14.08,50.76,8.48,1.71,7.16,1.03,5.52,1.43,3.55,0.57,3.21,0.55,8.92,3.40,73.12,38.06,12.04
1968,62,Astroni 6,1,75,three-b,10,110210am,5.33,60.18,0.09,383,433,35.94,476,67.32,27.53,383,91.40,151.34,16.89,60.67,8.78,1.79,8.64,1.09,7.01,0.90,3.42,0.50,3.70,0.40,8.81,3.57,112.73,44.35,12.05
1969,62,Astroni 6,1,75,three-b,10,110210am,3.36,60.18,0.21,344,398,31.36,379,58.77,26.66,386,80.61,133.86,15.14,60.79,7.68,1.70,5.88,0.69,4.79,1.33,1.93,0.74,3.80,0.47,8.19,3.23,57.17,37.97,10.51
1970,62,Astroni 6,1,75,three-b,10,110210am,5.88,60.18,0.13,344,618,30.67,376,60.35,25.03,899,74.73,124.73,14.43,54.14,7.43,1.85,7.48,1.13,5.29,0.82,3.67,0.35,2.46,0.66,10.03,3.54,74.06,34.97,9.60
1971,62,Astroni 6,1,75,three-b,10,110210am,5.37,60.18,0.12,355,405,27.99,361,61.40,25.81,438,73.86,126.37,13.19,49.74,9.16,1.63,5.59,0.80,7.82,0.79,2.73,0.48,2.44,0.47,6.23,4.02,78.63,33.67,10.14
1972,62,Astroni 6,1,75,three-b,10,110210am,3.20,60.18,0.15,378,390,31.60,398,60.35,29.88,392,79.70,132.72,14.75,55.46,10.51,1.93,8.36,2.01,7.37,1.22,2.56,0.44,3.65,0.92,10.30,4.44,66.38,38.15,10.29
1973,62,Astroni 6,1,75,three-b,10,110210am,3.93,60.18,0.05,377,374,32.80,439,65.48,25.26,432,85.58,144.83,16.19,52.87,9.73,2.16,8.40,1.32,6.59,0.92,3.87,0.63,2.39,0.64,8.13,3.84,64.18,42.61,10.28
1974,62,Astroni 6,1,75,three-b,10,110210am,5.05,60.18,0.02,359,379,29.06,384,63.25,26.86,377,74.00,130.98,14.28,54.54,8.32,1.25,5.32,0.85,6.84,1.03,3.36,0.51,2.65,0.76,9.47,3.32,72.65,39.16,11.30
1975,62,Astroni 6,1,75,three-b,20,110210am,6.08,60.18,0.07,359,371,28.05,371,66.62,26.36,363,74.01,122.42,13.05,48.60,9.46,1.83,5.99,0.91,5.65,1.00,2.38,0.39,4.08,0.53,7.78,3.03,63.16,33.39,10.30
1976,62,Astroni 6,1,75,three-b,10,110210am,5.31,60.18,0.11,348,406,30.88,405,66.76,26.75,426,81.67,132.14,14.96,49.67,9.01,1.85,7.82,0.80,5.75,1.20,3.37,0.30,2.96,0.69,9.99,3.24,93.47,40.08,11.42
1977,62,Astroni 6,1,75,three-b,10,110210am,6.02,60.18,0.06,358,390,32.42,409,64.18,25.05,349,76.18,133.02,14.12,53.06,10.18,1.27,7.33,0.75,6.39,1.12,2.96,0.65,4.10,0.51,9.28,3.75,72.33,37.71,11.22
1978,62,Astroni 6,1,75,three-b,10,110210am,4.02,60.18,0.01,348,405,33.55,424,68.70,26.28,397,82.68,145.47,14.61,49.77,8.29,1.98,8.39,0.70,7.28,1.08,4.96,0.42,3.32,0.61,9.67,4.01,94.39,38.07,11.23
