Analysis no.,Strat. Pos.,Eruption,controlcode,Sample,Epoch,Crater size,Date of analysis,Si/bulk cps,SiO2* (EMP),Sc,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U
2216,16,Paleopisani 2,7,23,one,20,030810pm,11.22,54.94,0.34,293,922,28.68,232,33.04,16.04,1409,52.69,97.20,11.43,43.99,9.30,1.71,6.91,0.75,5.36,1.08,1.50,0.48,2.74,0.46,5.83,1.72,54.31,20.14,5.14
2217,16,Paleopisani 2,7,23,one,20,030810pm,19.67,55.28,0.36,257,940,27.02,232,35.13,14.00,1344,56.04,100.41,11.54,43.07,7.96,1.90,6.62,0.91,5.16,0.94,2.98,0.57,2.22,0.48,5.02,1.78,39.25,20.05,6.19
2218,16,Paleopisani 2,7,23,one,20,030810pm,10.62,55.44,0.31,271,833,26.03,213,30.37,14.25,1225,50.78,90.90,10.23,38.90,7.37,1.65,7.20,0.82,5.70,0.65,2.21,0.57,2.09,0.36,4.93,1.73,40.04,17.09,4.76
2219,16,Paleopisani 2,7,23,one,20,030810pm,10.03,54.43,0.31,255,829,24.01,185,28.38,14.14,1207,48.33,87.64,9.99,42.95,7.32,1.80,4.88,0.98,4.44,0.78,1.95,0.36,2.11,0.32,4.33,1.72,37.71,16.54,5.26
2220,16,Paleopisani 2,7,23,one,20,030810pm,15.87,54.76,0.35,274,986,27.30,233,37.02,15.83,1520,58.01,109.36,12.96,46.77,9.12,1.66,7.48,1.15,5.25,0.94,3.21,0.28,3.03,0.44,5.32,2.15,41.23,21.77,5.97
2221,16,Paleopisani 2,7,23,one,20,030810pm,20.08,54.82,0.32,255,901,25.73,223,34.77,13.84,1355,54.99,98.57,11.84,42.18,9.05,1.51,7.25,1.03,4.66,0.84,2.26,0.36,2.84,0.46,4.28,2.07,42.05,18.66,6.08
2222,16,Paleopisani 2,7,23,one,20,030810pm,12.86,55.12,0.31,275,858,26.29,223,35.06,14.87,1274,51.95,96.76,11.18,43.73,8.98,2.26,5.70,0.78,5.84,1.09,2.31,0.34,3.07,0.44,5.32,2.08,37.68,18.65,5.11
2223,16,Paleopisani 2,7,23,one,20,030810pm,13.44,55.19,0.36,250,881,25.51,218,34.88,14.30,1307,53.83,96.29,11.73,42.71,8.75,1.92,7.24,1.00,4.58,1.06,2.91,0.30,2.53,0.36,5.67,2.02,38.72,20.10,5.40
2224,16,Paleopisani 2,7,23,one,20,030810pm,4.89,55.02,0.39,273,806,22.77,193,31.50,13.31,1118,45.32,81.61,9.72,36.67,9.86,1.42,4.69,1.04,5.39,0.48,3.72,0.50,2.06,0.52,6.24,1.36,36.45,17.68,5.11
2225,16,Paleopisani 2,7,23,one,20,030810pm,16.15,54.84,0.30,263,839,29.43,271,39.66,14.86,1268,52.49,97.48,11.32,42.25,6.79,2.24,6.83,0.92,5.76,1.13,2.59,0.54,2.63,0.48,5.65,2.00,45.48,21.81,7.38
2226,16,Paleopisani 2,7,23,one,20,030810pm,15.64,54.78,0.38,261,905,29.71,236,33.61,14.87,1329,55.61,94.22,11.81,42.29,8.98,1.97,7.83,1.08,4.65,0.91,2.57,0.41,2.62,0.39,4.83,2.00,40.96,18.45,5.42
2227,16,Paleopisani 2,7,23,one,20,030810pm,5.43,54.98,0.39,263,895,27.83,225,31.79,13.19,1320,53.71,98.70,10.81,42.15,9.26,1.77,9.61,1.03,7.95,1.02,2.05,0.52,2.63,0.36,5.86,1.71,39.37,21.36,6.08
2228,16,Paleopisani 2,7,23,one,20,030810pm,7.10,55.70,0.38,255,939,27.54,230,33.33,12.41,1476,52.59,100.95,11.97,45.62,9.19,2.05,9.13,0.80,4.71,1.48,2.99,0.83,4.04,0.47,4.92,2.21,36.35,19.87,6.07
2229,16,Paleopisani 2,7,23,one,20,030810pm,13.88,54.95,0.30,242,871,26.50,213,33.55,13.82,1317,54.97,99.72,12.05,46.10,6.73,2.38,6.37,1.02,5.09,1.10,3.62,0.48,2.35,0.39,4.66,1.75,44.42,18.83,5.94
2230,16,Paleopisani 2,7,23,one,20,030810pm,11.22,54.94,0.34,293,922,28.68,232,33.04,16.04,1409,52.69,97.20,11.43,43.99,9.30,1.71,6.91,0.75,5.36,1.08,1.50,0.48,2.74,0.46,5.83,1.72,54.31,20.14,5.14
2231,16,Paleopisani 2,7,23,one,20,030810pm,19.67,55.28,0.36,257,940,27.02,232,35.13,14.00,1344,56.04,100.41,11.54,43.07,7.96,1.90,6.62,0.91,5.16,0.94,2.98,0.57,2.22,0.48,5.02,1.78,39.25,20.05,6.19
2232,16,Paleopisani 2,7,23,one,20,030810pm,10.62,55.44,0.31,271,833,26.03,213,30.37,14.25,1225,50.78,90.90,10.23,38.90,7.37,1.65,7.20,0.82,5.70,0.65,2.21,0.57,2.09,0.36,4.93,1.73,40.04,17.09,4.76
2233,16,Paleopisani 2,7,23,one,20,030810pm,10.03,54.43,0.31,255,829,24.01,185,28.38,14.14,1207,48.33,87.64,9.99,42.95,7.32,1.80,4.88,0.98,4.44,0.78,1.95,0.36,2.11,0.32,4.33,1.72,37.71,16.54,5.26
2234,14,PP,9,2-2,one,20,040810am,12.80,58.06,0.20,256,666,22.67,224,34.28,15.05,1262,53.84,95.25,10.61,39.74,7.14,1.80,6.27,0.83,5.12,0.65,2.29,0.43,2.20,0.49,5.00,1.58,46.73,22.05,6.58
2235,14,PP,9,2-2,one,20,040810am,7.20,58.06,0.16,301,744,24.04,241,41.37,17.13,1438,55.14,97.56,11.54,43.60,7.96,2.50,5.73,0.94,4.84,0.66,3.03,0.50,2.28,0.33,4.24,2.40,38.19,22.20,6.85
2236,14,PP,9,2-2,one,20,040810am,10.60,58.06,0.28,328,789,25.70,266,39.97,19.07,1516,61.40,112.05,12.82,44.66,8.76,1.27,7.24,0.67,5.65,1.11,1.85,0.42,2.31,0.31,4.22,1.78,56.08,23.02,7.61
2237,14,PP,9,2-2,one,20,040810am,11.86,58.06,0.18,334,739,25.34,247,39.89,18.54,1462,63.23,115.04,11.89,45.95,9.65,2.22,6.91,0.67,4.74,0.95,2.06,0.27,2.58,0.45,6.47,2.61,56.72,25.39,7.47
2238,14,PP,9,2-2,one,20,040810am,14.26,58.06,0.19,342,776,24.73,265,43.35,20.63,1574,61.32,114.33,12.19,48.14,8.87,1.96,7.53,0.94,4.20,0.92,2.18,0.15,2.24,0.39,5.38,2.52,53.97,25.16,7.55
2239,14,PP,9,2-2,one,20,040810am,13.20,58.06,0.19,315,689,23.78,231,38.76,17.86,1309,54.26,100.93,10.80,43.56,8.33,2.51,6.48,0.85,4.18,0.92,1.65,0.30,2.70,0.53,5.45,1.96,54.84,23.79,7.92
2240,14,PP,9,2-2,one,20,040810am,18.02,58.06,0.25,347,825,26.32,256,41.14,19.16,1622,60.88,111.62,11.94,43.92,8.39,1.91,7.54,0.77,5.63,1.06,2.27,0.41,2.40,0.43,6.37,2.08,49.65,25.07,7.58
2241,14,PP,9,2-2,one,20,040810am,14.02,58.06,0.22,306,754,25.44,248,40.40,16.59,1523,58.86,114.45,12.45,49.15,7.46,1.48,6.04,0.89,5.36,0.73,1.98,0.47,2.17,0.38,4.96,2.05,55.65,25.66,7.76
2242,14,PP,9,2-2,one,20,040810am,8.11,58.06,-0.07,306,751,26.06,264,41.64,17.73,1512,61.71,120.28,12.14,42.81,7.82,1.53,7.19,1.08,4.50,0.78,2.51,0.37,3.19,0.57,6.92,2.40,52.96,25.26,7.99
2243,14,PP,9,2-2,one,20,040810am,9.44,58.06,0.22,303,816,29.28,281,41.18,18.63,1523,61.86,112.11,12.90,50.62,9.95,2.57,7.70,1.02,6.84,1.28,2.93,0.66,3.48,0.26,6.87,2.39,52.12,27.44,7.92
2244,14,PP,9,2-2,one,20,040810am,5.76,58.06,0.33,321,733,25.36,266,38.99,17.88,1444,56.76,117.01,12.67,49.72,9.86,1.36,6.15,1.05,4.96,0.93,1.89,0.35,2.94,0.45,6.55,2.44,65.89,25.82,6.66
2245,14,PP,9,2-2,one,20,040810am,5.27,58.06,0.21,336,715,27.48,255,39.80,19.30,1370,57.55,111.59,11.76,50.82,9.07,3.60,6.86,1.28,5.94,1.37,1.39,0.63,2.02,0.30,5.37,1.96,72.30,24.55,7.75
2246,14,PP,9,2-2,one,20,040810am,10.22,58.06,0.20,330,684,26.22,235,37.26,20.48,1302,56.75,94.54,10.59,44.42,7.83,0.89,6.29,0.78,4.81,0.76,2.54,0.37,2.40,0.49,4.60,1.78,65.90,22.11,7.61
2247,14,PP,9,2-2,one,20,040810am,9.18,58.06,0.24,330,739,27.24,269,39.63,21.10,1392,59.87,108.24,11.79,47.49,8.44,1.81,7.31,0.72,6.74,0.84,2.68,0.18,2.35,0.39,5.95,2.17,50.39,25.15,8.07
2248,14,PP,9,2-2,one,20,040810am,11.52,58.06,0.21,312,793,29.93,264,41.00,17.34,1496,60.80,113.24,13.37,43.64,8.84,2.00,7.03,0.54,5.46,1.25,1.48,0.19,2.49,0.34,5.78,2.43,50.44,26.04,7.61
2249,14,PP,9,2-2,one,20,040810am,13.79,58.06,0.25,352,758,27.10,258,43.22,20.56,1479,61.68,113.50,12.32,45.19,9.82,1.89,6.06,0.92,4.79,1.03,3.16,0.32,2.47,0.58,5.83,2.23,60.58,24.14,7.93
2250,14,PP,9,6,one,20,030810am,17.41,58.06,0.30,359,888,31.56,327,51.10,22.04,1564,80.03,132.40,15.16,57.04,9.32,2.23,7.83,1.26,6.89,1.17,3.36,0.59,3.08,0.39,7.85,3.08,59.48,35.95,9.88
2251,14,PP,9,6,one,20,030810am,13.56,58.06,0.30,366,798,28.93,301,47.19,20.60,1363,73.12,117.17,12.97,48.82,9.11,2.16,8.05,0.96,6.31,1.22,2.86,0.32,3.05,0.43,6.39,2.56,62.41,30.58,8.51
2252,14,PP,9,6,one,20,030810am,14.79,58.06,0.32,309,914,31.63,299,44.92,17.61,1741,72.97,122.96,13.96,50.08,8.96,2.64,7.86,1.03,5.99,1.07,3.29,0.55,3.52,0.43,6.30,2.77,57.16,32.57,9.10
2253,14,PP,9,6,one,20,030810am,8.53,58.06,0.31,341,865,27.03,271,44.21,18.54,1739,66.32,117.63,13.63,50.64,7.72,2.12,7.63,1.01,5.52,1.15,2.93,0.56,2.59,0.47,5.73,2.25,55.25,28.91,8.48
2254,14,PP,9,6,one,20,030810am,8.72,58.06,0.32,336,866,28.87,294,44.27,19.03,1618,71.87,116.53,13.04,48.01,10.46,1.89,8.94,0.96,5.77,1.31,3.41,0.52,2.58,0.47,6.70,2.41,63.33,28.28,8.09
2255,14,PP,9,6,one,20,030810am,12.98,58.06,0.30,336,886,27.92,266,45.83,19.16,1698,68.78,117.13,13.26,49.80,8.82,1.84,7.75,0.90,5.88,1.19,2.54,0.36,2.22,0.44,6.00,2.56,56.11,27.75,8.29
2256,14,PP,9,6,one,20,030810am,13.08,58.06,0.30,310,1056,28.74,284,43.28,17.43,1925,64.58,110.78,12.53,46.20,7.11,2.27,7.12,0.74,5.31,0.98,2.75,0.28,2.76,0.43,5.99,2.63,49.06,28.34,7.92
2257,14,PP,9,6,one,20,030810am,7.35,58.06,0.31,328,861,32.94,302,43.88,18.10,1576,68.90,110.76,13.55,53.24,8.33,2.06,9.14,0.99,6.28,1.17,3.29,0.40,3.87,0.33,5.97,2.32,49.21,29.22,14.12
2258,14,PP,9,6,one,20,030810am,7.16,58.06,0.25,350,920,34.28,331,46.86,20.66,1836,78.89,128.09,15.64,55.13,12.07,2.58,9.19,1.27,7.63,1.72,3.30,0.37,3.31,0.57,8.45,3.42,66.51,36.59,9.79
2259,14,PP,9,6,one,20,030810am,5.24,58.06,0.31,352,791,29.17,260,38.67,20.17,1503,64.71,98.14,13.33,44.16,7.33,1.73,7.00,1.33,6.58,1.19,3.19,0.44,2.77,0.42,7.14,2.30,58.58,27.93,7.12
2260,14,PP,9,6,one,20,030810am,2.87,58.06,0.12,304,883,30.68,285,38.01,16.10,1589,64.21,97.31,11.85,37.31,8.55,2.47,8.94,0.49,8.63,0.95,2.83,1.26,2.51,,2.77,1.83,46.38,22.05,5.40
2261,14,PP,9,6,one,20,030810am,17.78,58.06,0.30,318,861,27.75,275,42.76,17.43,1638,65.26,110.37,12.97,46.43,8.73,2.00,7.02,0.97,4.83,1.01,2.61,0.37,2.84,0.40,6.17,2.34,63.50,27.73,8.37
2262,14,PP,9,6,one,20,030810am,10.65,58.06,0.29,352,853,27.31,274,57.61,20.82,1669,67.59,119.84,13.01,48.91,10.03,2.38,7.52,0.90,5.10,0.88,3.16,0.46,2.59,0.32,7.23,2.36,99.44,28.52,8.56
2263,12,Soccavo 1,8,7,one,20,040810pm,6.77,58.70,0.02,327,607,25.90,275,41.72,17.11,953,63.57,115.81,12.40,44.46,7.31,2.34,8.14,1.32,3.85,1.33,1.54,0.21,2.75,0.45,5.14,2.42,68.03,26.49,8.18
2264,12,Soccavo 1,8,7,one,20,040810pm,15.47,58.70,0.18,381,750,25.57,276,44.19,20.15,1489,62.50,120.17,13.27,46.29,9.67,2.19,7.59,0.84,3.84,1.39,4.57,0.55,2.67,0.41,5.80,2.45,61.38,27.07,9.81
2265,12,Soccavo 1,8,7,one,20,040810pm,12.23,58.70,0.15,373,803,27.48,280,45.93,21.01,1720,65.09,122.19,13.67,47.17,11.16,2.09,7.20,0.73,4.90,1.14,2.73,0.37,2.26,0.33,6.50,2.46,54.63,27.77,8.50
2266,12,Soccavo 1,8,7,one,20,040810pm,10.28,58.70,0.15,377,654,23.97,253,42.55,21.66,1201,61.08,115.95,12.84,39.65,8.69,1.95,5.62,0.83,4.88,0.97,2.42,0.23,2.73,0.01,5.32,2.24,69.05,27.91,8.15
2267,12,Soccavo 1,8,7,one,20,040810pm,5.69,58.70,-0.01,293,607,27.82,305,42.44,19.23,1223,58.69,103.62,12.25,40.09,8.81,3.09,5.77,0.80,4.24,0.97,1.57,0.41,1.68,0.54,6.60,1.46,50.24,26.99,6.78
2268,12,Soccavo 1,8,7,one,20,040810pm,13.85,58.70,0.17,312,617,23.67,276,40.44,19.44,1170,58.10,101.18,11.42,38.93,6.30,2.18,6.68,1.06,4.75,1.17,1.93,0.48,2.00,0.49,6.59,2.38,54.48,26.90,7.59
2269,12,Soccavo 1,8,7,one,20,040810pm,19.06,58.70,0.20,313,729,26.78,296,46.10,20.56,1493,61.50,116.42,12.79,46.92,8.22,2.31,8.38,0.82,5.71,1.14,3.13,0.52,2.95,0.36,6.82,2.59,60.31,29.80,8.63
2270,12,Soccavo 1,8,7,one,20,040810pm,12.21,58.70,0.16,363,870,39.24,307,53.56,21.23,1594,92.54,160.28,19.64,76.05,15.22,3.40,13.54,1.12,7.63,1.35,4.69,0.87,2.81,0.50,7.71,3.28,57.06,34.09,10.20
2271,12,Soccavo 1,8,7,one,20,040810pm,11.31,58.70,0.16,301,630,26.39,301,44.48,17.98,1181,59.83,106.16,11.39,43.28,9.24,2.12,6.83,0.94,4.01,1.03,2.29,0.54,2.71,0.37,7.42,2.42,54.54,28.98,7.89
2272,12,Soccavo 1,8,7,one,20,040810pm,8.97,58.70,0.23,375,687,27.93,332,50.67,22.06,1361,69.46,112.37,15.53,52.36,14.22,3.18,8.61,1.38,3.45,1.34,3.09,0.24,4.01,0.20,8.12,2.93,65.70,29.77,8.46
2273,12,Soccavo 1,8,7,one,20,040810pm,7.99,58.70,0.14,336,759,27.45,270,42.81,20.79,1280,64.21,107.57,12.65,50.24,8.30,1.67,9.02,0.77,4.39,0.90,2.69,0.69,2.73,0.35,4.83,3.26,67.31,25.67,7.41
2274,12,Soccavo 1,8,7,one,20,040810pm,16.21,58.70,0.15,377,643,26.13,280,43.45,24.28,1055,67.53,121.45,12.39,49.78,8.57,1.71,9.08,0.96,5.77,0.78,3.09,0.68,2.68,0.34,7.36,2.31,66.75,29.03,8.12
2275,12,Soccavo 1,8,7,one,20,040810pm,8.87,58.70,0.11,352,721,27.44,270,42.52,19.04,1239,65.04,119.79,13.44,50.42,10.65,2.69,7.88,1.18,7.64,1.13,2.82,0.15,2.80,0.54,5.77,2.71,59.85,27.07,8.94
2276,12,Soccavo 1,8,7,one,20,040810pm,5.26,58.70,0.19,307,583,27.78,296,42.79,17.68,1172,58.13,104.76,11.64,35.89,9.99,2.57,8.28,1.08,1.40,0.60,3.15,0.27,2.11,0.02,7.89,1.69,54.05,25.72,8.04
2277,12,Soccavo 1,8,7,one,20,040810pm,19.61,58.70,0.25,323,992,32.55,283,43.41,16.13,1639,75.47,130.35,15.24,62.27,11.59,2.49,11.53,1.65,6.86,1.43,3.68,0.41,3.30,0.58,6.48,2.43,52.10,30.40,8.19
2278,12,Soccavo 1,8,7,one,20,040810pm,17.17,58.70,0.21,340,932,29.19,299,48.85,18.99,1854,69.90,126.84,13.61,54.80,10.04,2.06,7.89,1.02,7.22,1.41,2.81,0.39,3.35,0.38,6.59,2.93,52.37,29.47,9.18
2279,12,Soccavo 1,8,7,one,20,040810pm,9.45,58.70,0.25,391,727,28.71,294,47.46,17.19,1398,61.35,120.46,11.73,48.39,8.27,2.46,8.16,1.36,4.54,1.08,2.58,0.63,2.38,0.66,6.91,2.35,50.99,42.19,8.09
2280,12,Soccavo 1,8,7,one,20,040810pm,12.05,58.70,0.16,358,804,27.59,271,46.84,17.21,1504,66.36,127.21,13.20,53.95,10.69,2.58,6.63,0.68,5.96,1.17,1.83,0.73,2.07,0.44,5.57,2.85,57.78,29.26,9.66
2281,12,Soccavo 1,8,7,one,20,040810pm,9.96,58.70,0.30,406,603,24.12,295,44.48,22.62,1136,64.43,105.46,12.75,56.75,13.08,2.07,6.40,0.78,3.95,1.07,2.36,0.66,2.79,0.30,7.75,2.51,43.79,25.33,7.09
2282,12,Soccavo 1,8,7,one,20,040810pm,29.81,58.70,0.20,328,722,28.98,296,50.76,20.07,1145,74.43,135.85,14.87,53.79,9.41,2.44,7.65,0.95,5.83,0.99,3.30,0.44,2.84,0.41,7.36,2.81,59.68,32.59,9.77
2283,12,Soccavo 1,8,7,one,20,040810pm,10.62,58.70,0.27,334,810,26.45,254,41.49,17.69,1544,61.11,119.46,11.97,48.22,9.36,1.80,8.38,1.24,5.97,0.95,3.04,0.14,2.04,0.30,6.45,2.05,53.78,26.46,8.30
2284,12,Soccavo 1,8,7,one,20,040810pm,10.67,58.70,0.22,351,747,25.27,277,46.03,19.73,1264,64.83,117.98,11.92,50.07,10.28,2.97,6.18,0.80,4.94,0.84,2.60,0.52,2.57,0.41,6.10,2.72,55.02,27.73,8.76
